Nombre,URL
"Aluminio enchapado en cobre","https://colnect.com/es/coins/list/composition/152-Aluminio_enchapado_en_cobre"
"Aluminio-Zinc-Bronce","https://colnect.com/es/coins/list/composition/163-Aluminio-Zinc-Bronce"
"Antimonio","https://colnect.com/es/coins/list/composition/2-Antimonio"
"Baquelita","https://colnect.com/es/coins/list/composition/141-Baquelita"
"Cobre enchapado en platino-Níquel","https://colnect.com/es/coins/list/composition/167-Cobre_enchapado_en_platino-N%C3%ADquel"
"Cobre-Plomo-Estaño","https://colnect.com/es/coins/list/composition/195-Cobre-Plomo-Esta%C3%B1o"
"Níquel electro-chapado en Bronce","https://colnect.com/es/coins/list/composition/154-N%C3%ADquel_electro-chapado_en_Bronce"
"Zinc chapado en Platino","https://colnect.com/es/coins/list/composition/176-Zinc_chapado_en_Platino"
