Nombre,URL
"Corona Cardo Escocesa‎","https://colnect.com/es/coins/list/currency/1395-Corona_Cardo_Escocesa"
"Corona de Biafra‎","https://colnect.com/es/coins/list/currency/1897-Corona_de_Biafra"
"Corona de Canadá‎","https://colnect.com/es/coins/list/currency/3066-Corona_de_Canad%C3%A1"
"Corona de Myanmar‎","https://colnect.com/es/coins/list/currency/3067-Corona_de_Myanmar"
"Corona de oro, Lieja‎","https://colnect.com/es/coins/list/currency/2375-Corona_de_oro_Lieja"
"Corona yemení‎","https://colnect.com/es/coins/list/currency/2786-Corona_yemen%C3%AD"
"Cuatro cuartos de oro turco‎","https://colnect.com/es/coins/list/currency/2578-Cuatro_cuartos_de_oro_turco"
"Daalder, Indias Orientales holandesas‎","https://colnect.com/es/coins/list/currency/2429-Daalder_Indias_Orientales_holandesas"
"Deni Macedonio - ден‎","https://colnect.com/es/coins/list/currency/665-%D0%B4%D0%B5%D0%BD_-_Deni_Macedonio"
"Dicken de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2691-Dicken_de_los_Estados_italianos"
"Dinar afgano‎","https://colnect.com/es/coins/list/currency/2128-Dinar_afgano"
"Dinar Sirio‎","https://colnect.com/es/coins/list/currency/2165-Dinar_Sirio"
"Dírham ajmani‎","https://colnect.com/es/coins/list/currency/2791-D%C3%ADrham_ajmani"
"Dirham Indio‎","https://colnect.com/es/coins/list/currency/1938-Dirham_Indio"
"Dirham tunecino‎","https://colnect.com/es/coins/list/currency/2564-Dirham_tunecino"
"Dirhem de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2732-Dirhem_de_los_Estados_italianos"
"Doble franco-c francés‎","https://colnect.com/es/coins/list/currency/2947-Doble_franco-c_franc%C3%A9s"
"Doble vacquette francés‎","https://colnect.com/es/coins/list/currency/3022-Doble_vacquette_franc%C3%A9s"
"Dólar de Terranova - $‎","https://colnect.com/es/coins/list/currency/725-_-_D%C3%B3lar_de_Terranova"
"Doppelvierer de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2675-Doppelvierer_de_los_Estados_italianos"
"Dracma del Imperio Huno - Indo-Hepht‎","https://colnect.com/es/coins/list/currency/2003-Indo-Hepht_-_Dracma_del_Imperio_Huno"
"Dracma del Imperio seléucida‎","https://colnect.com/es/coins/list/currency/3121-Dracma_del_Imperio_sel%C3%A9ucida"
"Dreier de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2661-Dreier_de_los_Estados_italianos"
"Ducado de los Países Bajos austríacos‎","https://colnect.com/es/coins/list/currency/2890-Ducado_de_los_Pa%C3%ADses_Bajos_austr%C3%ADacos"
"Ecu de oro suizo‎","https://colnect.com/es/coins/list/currency/2519-Ecu_de_oro_suizo"
"Emistatere francés‎","https://colnect.com/es/coins/list/currency/2921-Emistatere_franc%C3%A9s"
"Enri D'or francés‎","https://colnect.com/es/coins/list/currency/3004-Enri_Dor_franc%C3%A9s"
"Escalin de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2697-Escalin_de_los_Estados_italianos"
"Eshrefi Altin de Egipto‎","https://colnect.com/es/coins/list/currency/2122-Eshrefi_Altin_de_Egipto"
"Fals siria‎","https://colnect.com/es/coins/list/currency/3122-Fals_siria"
"Fals tunecino‎","https://colnect.com/es/coins/list/currency/2565-Fals_tunecino"
"Fals, Marruecos‎","https://colnect.com/es/coins/list/currency/2465-Fals_Marruecos"
"Farthing del Caribe Oriental‎","https://colnect.com/es/coins/list/currency/2797-Farthing_del_Caribe_Oriental"
"Fénix Griego‎","https://colnect.com/es/coins/list/currency/1024-F%C3%A9nix_Griego"
"Findik egipcio‎","https://colnect.com/es/coins/list/currency/2238-Findik_egipcio"
"Findik Turco‎","https://colnect.com/es/coins/list/currency/2213-Findik_Turco"
"Florín de Malawi‎","https://colnect.com/es/coins/list/currency/1913-Flor%C3%ADn_de_Malawi"
"Florín de oro belga‎","https://colnect.com/es/coins/list/currency/2880-Flor%C3%ADn_de_oro_belga"
"Florín del Principado de Moldavia‎","https://colnect.com/es/coins/list/currency/1705-Flor%C3%ADn_del_Principado_de_Moldavia"
"Florín Sudafricano‎","https://colnect.com/es/coins/list/currency/1925-Flor%C3%ADn_Sudafricano"
"Franco de Guadalupe‎","https://colnect.com/es/coins/list/currency/797-Franco_de_Guadalupe"
"Franco de Martinica‎","https://colnect.com/es/coins/list/currency/806-Franco_de_Martinica"
"Francos Ecuatorianos‎","https://colnect.com/es/coins/list/currency/2133-Francos_Ecuatorianos"
"Frederick d'or, Alemania‎","https://colnect.com/es/coins/list/currency/2419-Frederick_dor_Alemania"
"Genevoise suizo‎","https://colnect.com/es/coins/list/currency/2514-Genevoise_suizo"
"Gianuino de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2677-Gianuino_de_los_Estados_italianos"
"Giustino de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2678-Giustino_de_los_Estados_italianos"
"Gramo gibraltareño‎","https://colnect.com/es/coins/list/currency/2695-Gramo_gibraltare%C3%B1o"
"Gran roseta belga‎","https://colnect.com/es/coins/list/currency/2881-Gran_roseta_belga"
"Greschl de Transilvania‎","https://colnect.com/es/coins/list/currency/2556-Greschl_de_Transilvania"
"Grossone de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2674-Grossone_de_los_Estados_italianos"
"Grosz de Danzig‎","https://colnect.com/es/coins/list/currency/1673-Grosz_de_Danzig"
"Gulden, Lituania‎","https://colnect.com/es/coins/list/currency/2357-Gulden_Lituania"
"Guldiner de Bohemia‎","https://colnect.com/es/coins/list/currency/2897-Guldiner_de_Bohemia"
"Halala Yemeni‎","https://colnect.com/es/coins/list/currency/2200-Halala_Yemeni"
"Handús hispano‎","https://colnect.com/es/coins/list/currency/2766-Hand%C3%BAs_hispano"
"Hemidracma de la antigua Grecia‎","https://colnect.com/es/coins/list/currency/3111-Hemidracma_de_la_antigua_Grecia"
"Hua chino‎","https://colnect.com/es/coins/list/currency/3053-Hua_chino"
"Huo bu chino‎","https://colnect.com/es/coins/list/currency/2930-Huo_bu_chino"
"Hyperpyron del Imperio Bizantino‎","https://colnect.com/es/coins/list/currency/1996-Hyperpyron_del_Imperio_Bizantino"
"Jokoh malayo‎","https://colnect.com/es/coins/list/currency/2389-Jokoh_malayo"
"Jules de los Estados Pontificios‎","https://colnect.com/es/coins/list/currency/2632-Jules_de_los_Estados_Pontificios"
"Kaserah Indio‎","https://colnect.com/es/coins/list/currency/1757-Kaserah_Indio"
"Kazbeg turco‎","https://colnect.com/es/coins/list/currency/2596-Kazbeg_turco"
"Keping de Sarawak‎","https://colnect.com/es/coins/list/currency/2713-Keping_de_Sarawak"
"Keping Kelantan‎","https://colnect.com/es/coins/list/currency/871-Keping_Kelantan"
"Kopfstück alemán‎","https://colnect.com/es/coins/list/currency/2996-Kopfst%C3%BCck_alem%C3%A1n"
"Koruna de Bohemia y Moravia - K‎","https://colnect.com/es/coins/list/currency/876-K_-_Koruna_de_Bohemia_y_Moravia"
"Kreuzer de Liechtenstein‎","https://colnect.com/es/coins/list/currency/2118-Kreuzer_de_Liechtenstein"
